TERMINAL ID;CREDIT;MEMO FEE
BITS;846.00;-6.00
CH1;4,817.00;-57.00
CH2;943.00;-3.00
DD1-1;3,740.00;-120.00
DD2;4,010.00;-90.00
DEPOT;1,632.00;-12.00
ENTII;1,029.00;-9.00
GLOU;4,214.00;-114.00
GV1;1,446.00;-6.00
HERNDON1;4,341.00;-21.00
IP;1,353.00;-33.00
LB1;6,621.00;-21.00
LF5;1,219.00;-39.00
LF7A;2,905.00;-45.00
LX1-1;10,830.00;-150.00
LX1-2;10,456.00;-276.00
MAN;11,099.00;-39.00
MS2;829.00;-9.00
ND2;2,588.00;-48.00
NEHQS;5,555.00;-75.00
NEWDOM;4,345.00;-45.00
NHB4;5,527.00;-147.00
NVA;4,826.00;-66.00
OHBNO;3,658.00;-78.00
OHBSO;18,916.00;-456.00
PC1;1,656.00;-36.00
RESTON;2,874.00;-54.00
VC1;5,715.00;-15.00
VC2;926.00;-6.00
VIENNAB;6,095.00;-15.00
WFC1;8,351.00;-111.00
WFC2;10,284.00;-84.00
