TERMINAL ID;CREDIT;MEMO FEE
BITS;140.00;0.00
CH1;3,310.00;-30.00
CH2;309.00;-9.00
DD1-1;2,881.00;-81.00
DD2;3,574.00;-114.00
DEPOT;83.00;-3.00
ENTII;1,103.00;-3.00
GLOU;2,836.00;-96.00
GV1;963.00;-3.00
HERNDON1;5,015.00;-15.00
IP;784.00;-24.00
LB1;1,449.00;-9.00
LF5;930.00;-30.00
LF7A;3,412.00;-72.00
LX1-1;7,570.00;-150.00
LX1-2;11,765.00;-285.00
MAN;2,358.00;-18.00
MS2;263.00;-3.00
ND2;1,753.00;-33.00
NEHQS;2,774.00;-54.00
NEWDOM;1,853.00;-33.00
NHB4;5,643.00;-123.00
NVA;1,538.00;-18.00
OHBNO;9,984.00;-264.00
OHBSO;9,275.00;-255.00
PC1;1,435.00;-15.00
RESTON;2,342.00;-42.00
VC1;1,483.00;-3.00
VC2;826.00;-6.00
VIENNAB;2,743.00;-3.00
WFC1;5,068.00;-108.00
WFC2;8,317.00;-117.00
