TERMINAL ID;CREDIT;MEMO FEE
CH1;3,726.00;-6.00
DD1-1;23.00;-3.00
DD2;123.00;-3.00
GLOU;20.00;0.00
GV1;1,806.00;-6.00
HERNDON1;2,226.00;-6.00
LB1;2,672.00;-12.00
LX1-1;366.00;-6.00
LX1-2;66.00;-6.00
MAN;4,689.00;-9.00
MS2;120.00;0.00
NEHQS;60.00;0.00
NHB4;584.00;-24.00
NVA;366.00;-6.00
OHBNO;558.00;-18.00
OHBSO;255.00;-15.00
VC1;1,546.00;-6.00
VC2;483.00;-3.00
VIENNAB;2,527.00;-27.00
WFC1;1,064.00;-24.00
WFC2;266.00;-6.00
